,0
374,ile defeating all t
375,emons in level is the state
376,oal in reality the
377,me is
378,out navigating yourself
379,tw
380,platforms usi
381,he abili
382,f the cards t
383,ssist you The environments
384,e g
385,t looking 
386,d the sou
387,rack is incredible The game has an arcade Dreamcas
388,ameplay loop where it incredibly addictin
389,o play level af
390,level memo
391,ing the way forward to get the best times If this game was just level select screen think it might be my favorite game of the year thus far but sadly this game has one major flaw and that is the plot It an incredibly stereotypical anime amnesia plot full of boring psychopathic enemies cringy sexual innuendos and awful voice acting Yes know the guy who played Spike is in it but this is not his best performance ended up muting the voice audio and that helped quite bit but the plot still has nothing to offer If you skip all the cutscenes though think this game is definitely must play This gets 4 stars because of the great artstyle tier Machine Girl music interesting gameplay gimmics and great level design 1 star for the story and visual novel aspects Neon White é uma mistura de FPS com Visual Novel pode parecer uma mistura estranha primeiro momento n mas depois de alguns minutos de gameplay esse jogo vai sugar sua alma até os segundos finais da gameplay n Agora pega isso coloca um toque de Speedrun Pronto NEON WHITE n gameplay é absurdamente pra
392,osa mistu
393,do tiroteios fre
394,icos com um sis
395,a parkour n E
396,elação Visual Novel a histo
397, não é
398,elhor historia de todos os te
399,s mas cumpre seu papel em n dar um backgr
400,d pro jogo thi
401,his is more or less
402,e game was looking for w
403,I bought mirror edge i
404,008
405,Goated
406,Combos go brr
407,Matar demônios com estilo muito bom 
408,O MELHOR JOGO DE TODOS OS TEMPOS 
409,YOU CANNOT KILL ME n AM OMEGA
410,Greatest Hack slash experience of all time IMO 
411,i cant stop playing
412,I dont think ive ever enjoyed shooting less 
413,This garbage but can stop playing it
414,O mesmo jogo 2
415,Same game 2 but little better
416,i never played overwatch 1 but like this game characters and gameplay design lot and mechanically it more interesting than gave it credit for in my first 10 20 hours but man do have love hate relationship with it because as many times as ive made great team plays with my friends or hit crazy headshot kills ive also been insta deleted by hanzo or gotten rolled by way higher elo player who somehow got queued into the same lobby equal parts fun and frustrating
417,RE4 is good game and revolutionized third person shooters at the time But this is not survival horror never once felt any tension playing this game And thats why play Resident Evil
418,The game that got me hooked on the Resident Evil series 
419,A game that manages to perfectly blend the survival horror formula that Resident Evil popularised with something resembling what was at the time the future of the third person genre Every aspect of it is designed to ramp up the tension and keep you in this sweet spot of just about surviving the horrors by the skin of your arse There a reason the controls are like that the guns feel like that the enemies react like that the music sounds like that EVERYTHING is geared towards making you feel like the game is constantly turning the screw and thanks to the adaptive dificulty it usually fucking is 
420,ot your bro bro Leo
421,cotland Parker Kennedy This was the first Resident Evil game played and finished It remained as such for over 15 years They were at bingo
422,What good fucking villain 
423,Man they dropped the ball still good tho
424,mating press Aerith Tifa
425,masterpiece
426,Remake de um clássico da história dos jogos respeita jogo antigo não faz mudanças bruscas ao mesmo tempo que moderniza gameplay a deixa bem mais parecida com actions rpg atuais com the witcher 3 FF XV no mais jogo se prolonga demais em algumas partes desnecessáriamente a história acaban progredindo de maneira extremamente lenta fazendo com quem em algumas partes jogo se torne extremamente monótono
427,hate to be hater but man did hate this may as well lean into it by far one of the least pleasurable and enjoyable experiences ve ever had with video game in any capacity with anything really spread out and torturous over 30 aching hours determined to finish this and think it counts for something this is my first experience with final fantasy so can say how entirely faithful it is to the original know the big plot beats but like really this is the story that hit for so many people even in the differences this remake brings n really do just have too much to say about this and don really know where to begin about it all for the positives this is obviously incredible looking and uhhh yeah really like Barrett but other than that it a struggle this thing really is emblematic of so many issues have with lot of gaming in general so self serious with huge misses when attempting anything light refuse to believe there are honest to god Wedge stans out there giving us so many cinematics having the gameplay consist of another 5 or so steps along corridor and bam here another cutscene dialogue and vocal direction sucks Cloud is an absolute black hole of charisma Nobody is fun to play as except for Barrett who has the most simple combat systems out of the 4 options 
428,Recomendado
429,Sonic Frontiers é mais novo jogo do Sonic porém ele não é só mais um jogo qualquer da franquia é nova direção da série sendo tão diferente quanto Adventure Unleashed mas será que Sonic Frontiers é um bom jogo mesmo com algumas polêmicas resposta é sim ele é um ótimo jogo 
430,Better than Forces and Lost World but that not saying much Overworld was cool to explore but it was trying too hard to be Breath of the Wild Combat was literally just mashing which wasn fun The platforming stages remove the camera control which just makes you fly off the side if you don know what coming up At least it looked pretty aside from the generic looking enemies 
431,Maybe ll try again in the future but this isn doing it for me It was alright at first but soon outstayed it welcome 
432,Excited for the sequel assuming they don completely change the formula again because this is really solid foundation that feels fresh if little bare bones at times Super fun to run around and the music is really nice Glad to have story where the characters take the events seriously without joking every 5 seconds The story itself is ok but the final act is clearly unfinished and rushed has probably one of the worst final bosses in the whole series which really undermines the ending bit Excited for the content updates SEGA needs to give these devs the time and resources to release game in fully finished state 
433,Man kinda forced myself to beat this Kinda fun tho
434,Wow Really fucking cool game Honestly the most fun card game ve ever played and it worked in every iteration want full versions of each ngl So fun 
435,i cried at this game im not joking 
436,One of the best games from 2021 HATE CARD BATTLE GAMES but this one has me excited to come back for more 
437,the card game itself is good the elements beyond the card game take it up notch
438,Its hard to say alot about what like about this game without spoiling it but it a must play to me Incredibly fun card system interesting narrative and story that goes deeper then you expect Best played blind 
439,The story is amazing and the atmosphere really helps to get inmersed in this world where your life depends on how you play your cards n still need to finish the kaycee mod but for now it completed to me
440,PEAK near flawless game for me and really encapsulates what love about the medium Exceptional effort and turned out just as well as d hoped ve beaten it 5 times now granted new game plus with all your upgrades and knowing where to go makes it much easier did find it to be very difficult at points and it can be somewhat easy to get lost Also vital system for progression can be too cryptic but rewarding once you crack it That about my only gripes Must play game Gorgeous artstyle no handholdy nonsense fun gameplay top tier OST great story and an overall perfect action adventure game It littered with secrets as well so your exploration is rewarded pay attention to the manual Andrew Shouldice goated fr 5 5 
441,Tunic is wonderful 2D Zelda like that feels like love letter to the genre Between an extremely charming aesthetic fun and interesting items and being extremely packed with puzzles and mystery it would be hard not to recommend this game to any fan of the genre The inclusions of things like made up language and the instruction booklet all work to great effect to simulate that feeling you had when you were kid trying to play game like Link Awakening Discovery is always well rewarded and always feel earned by the player feel as though there are very few handouts in terms of progression through the game so even just simply navigating the world feels meaningful and accomplishing Level design is top notch in this game and love all the secrets and hidden paths they provide using the game isometric view think the weakest parts of this game compared to its contemporaries is the mood of the game 
442,Tunic es un buen juego que no he podido disfrutar al máximo Aunque la jugabilidad es buena está bastante pulida la historia lo que yo he entendido me ha gustado mucho la BSO cumple bastante la mecánica de que todo gire en torno al manual el no poder entender la gran mayoría de la información que tienes encuentras me ha fastidiado mucho la experiencia Dicho esto no es juego que yo recomendaría
443,Like 5 minutes after finding the rey key found the map to that dungeon and honestly find that pretty funny
444,Esse é único jogo que eu me motivei platinar É rápido tranquilo divertido os mistérios desse jogo Meu Deus eu nunca vi nenhum jogo apresentar suas mecânicas dessa forma coisas que você poderia fazer desde início mas só foi aprender na metade por isso que voltar nos lugares é tão incrível porque você volta diferente com conhecimento Tunic pra mim foi uma experiência única onde eu pensava sim que ia gostar mas não imaginava nem de longe as coisas que ia me fazer sentir Minha opinião sobre esse game é algo pessoal demais é com certeza meu indie preferido 
445, Aventura n Sense of Wonder n Misterio 
446,Dark Souls forces you to challenge yourself and persevere to complete it 
447,Replayed as pyromancer and duped souls since this was just for fun and LOVE THIS GAME RRAAAHHHH
448,The bimonthly fromsoft play through gets better every time will never get bored of these stories
449,When game is so broken and unplayable it 
450,eing lauded as exigence there not much more to say a
451,t it b
452,er though the lore and overall at
453,phere are fanta
454,c better than valhe
455,he only soulsborne really love except maybe Bloodborne lmao 
456,I was dumb kid that got progress locked in the water temple and didn understand did something wrong 
457,i have bad habit of not beating video games even though haven beaten ocarina of time ve gotten far enough into it to tell that it good and if you need me to tell you that it good then you re bit of silly little guy goober if you will
458,As years go by still enjoy this succesful transition from 2D to 3D of the series but its rather formulaic structure make me prefer bolder approaches such as subsequent episodes 
459,childhood game and probably played it about 8 times through timeless classic n Remaster is good too but never finished it
460,I love this game But you know what ve never actually finished it Can justifiably give this game higher review if haven even bloody finished it just love the idea of it This is so stupid What is anything anymore 
461,the very last fight against ganon not ganondorf felt so good nintendo knows how to make game it felt very powerful and nearly shedded tear 
462,Um jogo espetacular amo as piadas a gameplay 
463,Very life changing game love game 
464,i love lesbians
465,Yeah it good
466,Going to give an 8 until realizes the alternative route Brilliant stuff Let see what you got Toby Fox 
467,PEAKRUNE LITERALMENTE ME DIVERTI MUITO JOGANDO HISTORIA QUE TOBY FOX ESTA COZINHANDO ME FAZ FICAR MAIS INTERESSADO AINDA PARA OS PROXIMOS CAPITULOS O QUE VAI ACONTECER
468,Rivetting story great graphics and music an alignment of planets and star studded development team All time classic 
469,I ve never enjoyed turn based combat but Chrono Trigger got pretty close to making me enjoy it Unfortunately it did not succeed and most of what you do in the game is combat The visuals and music are great though The writing is fine suppose appreciate the little details in it just have the feeling that Woolsey wasn given the ability to translate things as well as he could have in better circumstances and it drags down the writing for me 
470,It 
471,hrono trigger there not mu
472,ha
473,asn been said It great we all love time travel we love silly c
474,acte
475,itera
476,named Frog It a classic Masterpiece The best JRPG ever made Wabi sabi This is masterpiece pla
477,this in like 2019 or something an
478,t genu
479,ly trounc
480,ll modern RPGs ve pl
481,d It not
482,en close 
483,This game is fever dream
484,While the levels aren as good as other games in the series this is game appreciate the more it ages 
485,A very good game that still holds up well more than 20 years later It delivers everything that made the previous game good with consistent improvements to gameplay and visuals 
486,Teenage me thought this game was so perfect and brilliant and she would be so disappointed in 30 year old me for thinking it kind of mess
487,this game goes hard as fuck
488,Não sei se comento 
489,Muito bom um dos melhores plataformas jogos do Super Nintendo Muito revolucionário para sua época 
490,Eu só zerei rapidão pelo caminho da estrela mas esse jogo continua foda n Óbvio não é meu Mario favorito mas ele continua fodastico um dos melhores jogos de plataforma 2D 
491,i love mario games so much love super mario world music art mechanics level design enemies everything this is just nice game could play with friend watching or even as player 2 and it makes me happy 
492,Tão bom quanto Bros 3 principalmente na música mas estilo do 3 algumas outras coisas ainda me fazem preferir ele 
493,Long review short Masterpiece 
494,A timeless classic It might not be as shiny and frantic as its biggest competition at the time Sonic the Hedgehog but its depth size and replayability made it stand out Still one of the all best in the Mario series 
495,one of my all time fav games ever love everything about it
496,Probably one of the nicest looking games ve seen but other then that it definitely not for me 
497,I knew was in for ride with Kojima game cannot explain how personally touched am by every song and landscape this game offered reflected these connections with current and past life experiences 
498,I actually really like this game 
499,yüksek teknoloji kargoculuk simülator
500,I love walking around what can say we re all on Kojima Wild Ride
501,muito bom mas eu acho que não vale preço primeiro eh mais completo mas miles morales é sim muito divertido tem uma platina mt facil
502,Good game but literally glorified dlc Make it atleast 30 euro or something
503,zenci güçlendirme oyunu
504,Exaggerated swagger
505,It like Spider Man PS4 with worse story but better gameplay You think that would even out but REALLY didn enjoy the story 
506,Não sei se é impressão minha mas achei web swing o combate desse tão bons quanto os do original parecem mais fluidos sei lá miles é um baita personagem a história é simples mas efetiva uma pena só ser tão curto quando menos percebi já tava na última missão mas vale muito pena 
507,I think this is my third or fourth attempt at beating this thing Farthest got to was Ornstein and Smough But did it finally Man what an experience True it was rocky road in some parts Some of the later game areas obviously didn get as much attention as the first half and some bosses were pretty disappointing and one was straight up bad But everything else is excellent Weighty satisfying combat incredible atmosphere some of the best level design ve ever had the pleasure of exploring incredibly deep lore that absolutely did not fully understand but did my best fun memorable bosses and enemies This game has it all man This is now the second FromSoft game ve beaten Bloodborne being the other one Overall prefer Bloodborne but this is still an incredible game worthy of your time 
508,es una locura este juego no puedo creer que exista algo así
509,God tier game 
510,The birth of genre It has lot of warts lot of objectively terrible bosses and the lack of warping between all bonfires never stops being annoying But you know what It DARK SOULS bitch When it good it great 
511,I should ve thought about the crashes before bought it on switch 
512,its not that hard
513,i think the rolling health meter is unique fighting mechanic this game has inspired some of my favorite modern RPGs and the sound design art is really creative 
514,Earthbound n is very extraordinary in many ways and ordinary in others As far as RPGs go the dungeon design and combat is very by the numbers As far as everything else goes this game is something special n Modern settings may be quasi common for RPGs now but still think Earthbound does it among the best The cartoony overtones and Peanuts like quality to the world helps keep fantastical air about the game in spite of you trawling through what is basically suburban America n The plot is very standard but focuses moreso on the goofy and memorable moments stringing them together The PK Starstorm scenes in particular were cool to me Summers was nice location to explore especially and the music has sweet wacky vibe Inventory management is still frustrating and the combat is plain but exploring the world is enjoyable n Great game and worth your time but more for the moment to moment bits of dialogue goofiness
515,A classic no better way to put it Say fuzzy pickles 
516,Scandalously never released in Europe before the Classic SNES Mini fantastic RPG with phenomenal and meta backstory full of fun thrills not so simple fighting mechanic and absolutely lovely characters Only outperformed by its even more fantastic sequel 
517,Un RPG extraordinario El modo de juego la mecánica de combate es más bien estándar pero el argumento funky camp naive inesperadamente crudo con el que construyen el juego es maravilloso Si lo hubiese jugado hace años estoy seguro que no lo habría disfrutado tanto como ahora 
518,What journey n Kinda wanted to cry at the end n This game is definitely an eccentric Masterpiece n Can help but being sad now n pray to all souls wishing others to play this game like Paula once did 
519,Doidera pra caralho Tudo nesse jogo é bom industria dos Videogames peakaram quando aquele castelo aparece do de cabeça para baixo Os unicos defeitos são desse jogo é sua idade pois mecanicas designs desse jogo são um pouco outdated mas isso é detalhe o jogo continua sendo 10 10
520,Muito se diz sobre coisas feitas com amor carinho mas poucas coisas merecem tanto esse elogio quanto Symphony Of The Night
521,Sempre tive um carinho imenso por este título Symphony of the Night é simplesmente primeiro jogo que eu tive contato na minha vida consequentemente obra que me introduziu esta mídia que não só é minha favorita dentre outras que eu também gosto muito como filmes música mangás etc mas que acabou se tornando uma das minhas maiores paixões no geral 
522,The birth of MetroidVania excellent game and cool features No more words Just play that game Bro n 9 9
523,Notes n Ending Acquired Good Ending n Played only as Alucard n Around 185 completion
524,Atmosphere visuals and the OSTS in this game are awesome and helps the immersion stay consistent throughout the game the gameplay is very good for people who wanna start this genre recommend this game fully 
525,Un remake con la movilidad de Dread sería la mera verga 
526,It is super and Metroid game
527,STILL PEAK 
528,This is tough review to write because it hard to say what hasn already been said Growing up wasn as keen on Search Action games as am now but my recent playthrough of n Super Metroid n few years ago changed that n The exploration is very well done here as many others have said the detail on the spritework is astronomical for the SNES and the atmosphere is otherworldly The boss fights are pretty challenging and fun My only draw was that didn like Maridia and found it very frustrating but every other area especially lategame Norfair was very enjoyable An amazing game for surely 
529,Probably still the best 2D Metroid entry to this day Several mechanics were introduced with this game which is timeless classic 
530,Level Design
531,I actually had no idea this game was so long tought it only had like 4 worlds now understand why this was so revolutionary back in the day Can deny had good time with it beat it in around 1 and half hour using save states because this must have been burden to finish in 1985
532,Can deny that the game did lot for the platformer genre but nowadays don really consider it anything special n But it has the most iconic first stage of any platform game ever 
533,Entendo importância desse jogo pra industria mas não ele definitivamente não é bom 
534,Best 6 minutes ever
535,I mean aye sure 1 1 is five stars for being iconic 
536, Fases quase todas iguais n Mesmos chefões em todos os mundos n Poucos power ups n Pouca variedade no geral
537,I love this games atmosphere Nintendo should lean into this style more often 
538,LINK DOES FLIP WHEN YOU JUMP
539,Copy paste my Ocarina review Never finished but it had an impact on me regardless 
540,ocarina of time 2 with extra moon 
541,JOGAR
542,Based based based based beautoful game
543,I dropped this originally went back and had lot of fun not life changing but good time
544,Finally finished for Jedi survivor tbh Im actually kind of excited enjoyed the story and most of the characters n The gameplay is solid just hate the slow walking through cracks and big problem is in the first half of the game having to walk back to the Mantis after finishing level n is so damn annoying 
545,Wait EA actually managed to make high quality single player Star Wars game n n surprise to be sure but welcome one 
546,Respawn carried EA at this time
547,Rating 8 2 10 Great
548,Am star wars fan now 
549,Extremely satisfying and visually pleasing visceral combat the attention to detail in animations are nearly unmatched by any other studio This game tries to make you question the morals of the main character but fumbles it bit 
550,Played this lot when was littler coming back to it could appreciate it more Scared me at times because m not used to horror LMAO
551,on hard no help 
552,um jogo lindo até mesmo para os dias de hoje personagens inesqueciveis inimigos desfiadores muito obrigado naughty dog por fazer uma obra de arte
553,There is just notthing you can complain about in this game The characters the story the ending it is all so fucking perfect 
554,O tal do joguinho criou os joguinhos de historinha
555,It 2d Minecraft and wish it had that extra d
556,Terraria Minecraft
557,Rating 9 2 10 Amazing
558,re logic am begging you please make the actual final update
559,Play Minecraft 
560,uncontested standard for this game genre bitches got everything right down to the exact feel of everything
561,The only issue have with this game is the dull generic enemies and lack of engaging combat 
562,now THIS is what im talking about
563,Great game to play with friends watching little short but very dense and have great replay value 
564,As traditional american horror tale it is masterfully conceived As game it works for some time and it starts running out of oil around the third act 
565,Despite Re7s commercial success this is probably one of my least favorite games ve ever played It so detached from what gave resident evil its charms that it just feels more like poor attempt at making an Outlast game with guns in it It was nice that the series gained more popularity and returned to its proper horror roots but this isn for me and it never will be 
566,Sei que vou ser só mais um chatão que não amou por isso aquilo mas eu tenho meus problemas com este jogo Não gosto muito do combate tanto pelos inimigos repetitivos quanto pelas armas sistema de combate em si n Não é exatamente uma coisa que jogo faz de muito errado mas eu também não gosto de os itens serem tão bem escondidos algumas vezes pois tem alguns em cantos que você nunca olharia Por um lado é bom para recompensar exploração mais minuciosa mas por outro é muito anti intuitivo n atmosfera do jogo a ambientação são ótimas mas eu sinto que focou demais no terror na opressão às vezes até no grotesco bizarro isso meio que me tira um pouco diversão tratando se de um resident evil onde uma das coisas que mais gosto é gerenciamento de itens definir mais combate que se você está nervoso com um inimigo que você não consegue enfrentar direito por ele ser muito resistente ser um saco acertar na cabeça n No mais acho um bom jogo com bons personagens com um rumo que não foi ruim pra franquia Algumas coisas foram bons rascunhos pro próximo então foi muito mérito este game apesar de eu não sentir um fator replay deste 
567,kojima love you please have my children
568,Story will leave you with actual phantom pain but the gameplay is unmatched in the action stealth genre 
569,Preparing for missions and utilizing all the unique gear are the best parts of MGSV The game does nothing to justify its open world structure though and adds unnecessary grinding for materials to upgrade your base which bogs down the gameplay 
570,It hard to review this game It has the best gameplay in the series easily but that constantly interrupted by helicopter rides visits to Mother Base selecting your loadouts even though for me it was the same loadout for almost every mission and micromanaging your many recruits Still while you re actually in the field the stealth gameplay feels excellent But then it has the absolute worst story in the series On the plus side kinda the vast majority of the story is on cassette tapes that are completely optional 
571,Only 10 15 hours into this game and already it 
572,ne
573,my
574,vorites of
575,Some of my worst memories in playing videos games from this
576,Nothing will ever beat 2016 17 overwatch
577,sucks that this game didnt really get the support updates it needed to stay alive for as long as like league or something cause this was genuinely unironically the best multiplayer fps game ever during it peak
578,When played this game was when it where in the most boring meta ever existed Barriers go pam 
579,For the sake of my sanity we will not be discussing all that this game did to and for me 
580,has winton 5 5
581,video game
582,başyapıt 
583,When was younger and heard people talk about it always scuffed it and thought it was some lame ass shit but was fucking wrong 
584,I mean its Half Life 2 
585,Half Life 2 hasn aged day was surprised at how well it held up almost 20 years after its original release Nostalgia has nothing to do with it it just that good 
586,When played this remember being like aaaah get it now but now remember nothing about it 
587,Intelligent Systems best work so far Top quality voice acting Strongest soundtrack since Radiant Dawn and Echoes Fun gameplay Good challenge Immersion was handled well n Although designed to be re play too much content is shared between the different routes Story is not bad however it does not affect negatively the whole experience n This game was released during very important part of my life It came out when needed it the most gave me the emotional support needed Highly recommended
588,Great but don like when it tries to be persona
589,Yes like all three four counting Yuri of the lords almost equally Yes we exist Still need to finish blue lions aha 
590,Played like 50 hours before beating Blue Lions campaign Loved the specific story and characters got and the twist half way thru was super cool Gameplay was tight and good evolution from Awakening Satisfied with my run for now but one day know log back and try the other two classes 
591,my profile is mostly goofy but honestly love FE3H ve purchased the DLC followed all of the routes beaten the game multiple times and poured sad amount of hours into it chose mercedes as my first romance option and she still my favorite this game genuinely makes me very happy and have never played any other fire emblem game before 
592,went into this game for the pretty ladies and came out traumatized by war
593,I thank this game for my childhood introduction to classic rock 
594,top 5 games of all time
595,3 stars just for SAMP mod 
596,jogava mais pra ficar explodindo os outro modo historia nunca me chamou atenção
597,have two number 9s number 9
598,rge 
599,umber 6 with extra dip a
600,mber 7 two n
601,er 45s one with cheese and large soda could happily spend the entire game just shopping in
602,nco and suburban 
603,A visual novel combined with strategy tower defense gameplay n It was good but the replay value is rather limited 
604,This has become my favorite visual novel storyline and possibly top 15 storyline in general love sci fi stories than can creat elaborate worlds like this do wish the gameplay was more interesting tho 
605,it is not perfect it a bit too heterosexual and there are parts of the ending have issues with but tiny itty bitty little issues like that just do not matter in the face of one of the greatest narrative experiences have ever experienced This is seriously revolution in interactive storytelling and if you have even the slightest interest in it then you should play it as soon as possible Its especially an absolute treat for anyone who loves to think about how game design can influence and bolster the narrative games try to convey
606,I love video games so fucking much
607,This wasn for me it wasn to my taste unfortunately got out of the tutorial to the mode select and put it down 
608,peak fiction one of the best artstyles ve ever seen in modern game
609,I had heard lot of things about Persona 3 difficulty and its age but came out without bitterness but deep emotion within my heart 
610,Changed my life Memories of you still makes me cry Literally unexplainable how much this game means to me Also AIGIS
611,The best definitive version of the game pretty good all in all wonderful game
612,depression
613,on fourth attempt to actually play through Persona 3
614,this game broke me
615,que jogo lindo n é bem punitivo dante tem vida de papelão mas combate é muito livre no inicio é dificil pra burro mas depois que você adquire skills pro devil trigger pro dante vai facilitando ficando muito mais dinâmico câmera é um inimigo mais no jogo mas compensa com direção de arte foda ótimo inicio de franquia sim eu serei covarde vou pular 2 como um bundão não achei meu tempo no lixo 
616,Dated but credit where it due for laying foundation for the series
617,BAD FUCKING GAME
618,https youtu be CV9LyYzLUyQ
619,the only reason its this high is because was little pussy that abused save states every time died
620,The game can be pretty janky and frustating control camera wise and some things may look bad because of what we take for granted on this genre today but when you keep in mind that this game actually created it it actually pretty fucking impressive what Hideki Kamiya did here the guy is genius
621,mario kart 8 deluxe is nearly identical to the past 3 mario karts before it the only real bonus is that it on the switch and even then is that honestly bonus
622,Raising this to 3 5 stars after playing the DLC The racing and courses are great just wish there were some other single player modes The Mario sports games get fairly criticized for lack of modes but Mario Kart often manages to avoid that criticism After few days of repeating the same courses over and over feel ready to move on to another game 
623,Yeah this is banger and the best mario kart really great visuals and smooth gameplay and having so many different courses and bringing back classics from every console is an absolute blast
624,I a real critic
625,Probably the complete package but not as fun as Double Dash or DS New DLC might change this 
626,I paid 50 for this
627,this is what happens when make fun engaging lol FE game with lot of customization well balanced without the dlc challenging actually good map design memorable and fun characters with lot of personality
628,This game is silly but the gameplay was really nice can really put my thoughts in to words because don really have any thoughts my head was completely empty while playing this game and it worked on it favor n Still didn surpass Ronde so that an for this game but other than that it pretty good
629,Nice looking Vibrant colours Really fun gameplay Excellent voice acting Solid soundtrack especially during Solm chapters Decent challenge 
630,took me 40hours to beat n really enjoyed the mechanics of gameplay liked the emblem idea lot it allows for some really cool and powerful unit combinations and creations thought the story was whatever it was fine bad dragon vs good dragon and hated the characters some of the least engaging characters ve ever interacted with 
631,Was fun but like that story was dookie
632,Needed to be 30 hours and it would ve been amazing Story was ass but as ass as Fates 
633,It quite difficult for me to gather my thoughts into single opinion because n Pokémon Violet n gives me lot of positive emotions but at the same time it is not at all devoid of negative ones 
634,Another game being damaged by having crunches and small development timespan Frame rate being intolerable and had the game crash 3 times on me still had good time playing it The open world and actually having the freedom to travel with having better story to follow keeps this from being one of the weakest of the series 
635,Tinkaton my beloved
636,Saying how good this game is for me feels like my dad talking about how the car he owns from 2006 is incredible and full of stories as long as you ignore the fact it almost falls apart the minute it gets on the road except this game came out last year 
637,This could have been the best Pokémon game if there wasn so many bugs Would prob give 5 5 if no bugs
638,bruh
639,Extremamente divertido violência extrema estética incrível músicas boas Não existe uma maneira melhor de descrever esse jogo n Eles consegue transformar ato de matar cruelmente em algo extremamente divertido n jogo é desafiante mas na medida certa você não vai demorar pra pegar jeito do jogo se transformar em um verdadeiro maníaco que sai matando qualquer um que simplesmente esteja andando n história não é tão bem explicada nesse jogo no 2 eles explicam melhor as coisas mas mesmo assim ela é muito boa vale apena caso não tenha entendido ver algum vídeo explicando ela n As máscaras são melhor coisa do jogo fazendo que basicamente cada pessoa tenha um estilo próprio de jogo n Mas pra você que gostou do jogo eu tenho uma pergunta Do you like hurting other people 
640,ultra violent ultra stylish top down shooter that makes the player think about the violence they commit in video games 
641,Good gameplay actually adictive
642,shout out bike guy
643,I remember thinking Wow it 
644,ike the game Drive and then
645,sten
646,to the soundtrack for this
647,me
648,d thi
649,ng that was someth
650,a healthy normal person does Not much you can say about Hotline Miami that hasn already been said It is iconic confident violent and tuned perfectly It easy to appreciate title this well made 
651,takes little getting used to but man this game is fun when the controls start to click The art style is amazing and totally nails what it was going for If had to complain about anything guess there one or two level gimmicks didnt love golf but either way this game is still sick 
652,A very solid game that knows what it wants to achieve and does it with style The controls take some getting used to but oh man When it clicks n it really clicks n n didn like the bosses as much as the levels but the final boss was amazing 
653,lario
654,wow
655,Visuals sick as hell n Music sick as hell n Gameplay sick as hell n Mort the Chicken sick as hell
656,Who knew if you mixed wario land with sonic you would get one of the best games of 2023
657,tl dr Buy Psychonauts 2 with money 
658,The true goty of 2021
659,Psychonauts 2 isn just follow up to an old video game it feels like the Psychonauts game Double Fine always wanted to make but they had to make the first game in order to be able to tell this story 
660, Played before 2023 n The best platformer out there love that powers are intermingled lot of the times into exploration and combat which is FANTASTIC especially in comparison to the other platformers out there The story and world is great with fantastic characters voice acting and an art style that is wonderful The concepts they create in these worlds is insane and don think Double Fine is praised enough for their abilities to do it and think everyone should play this game It is the only platformer ve ever truly one hundred percented and completed all the achievements something ve NEVER truly done before especially without guide 
661,The game of Psychonauts 2 is fine It drags in the middle and the environments get boring somehow maybe do to the linear nature of most minds The gameplay itself is solid there re more dimensions to combat than the game initially lets on so figuring out how to go about fights is rewarding even though they re simpler Platforming is responsive and the environments at least offer interesting ways to use platforming ability from time to time think this balances out to an overall fine experience It a 1 foot deep pool of game but the water is at least nice 
662,Я не понял гениальность которую все игре приписывают Возможно она действительно гениальна но мне было неинтересно проходить её до конца Проблема опять в том что геймплей очень устаревший что то на уровне платформеров на пихе из дества типа ретчет и клэнк или джек и декстер Короче я заскучал и удалил 
663,That Nintendo just announced this and dropped it in the same day is crazy The Prime games has been games that has forever been stuck on my backlog Now was the golden opportunity for me to finally play the first one Wow this is one of the best remasters ve played It should be considered remake How they did the controls is so underrated Having the choice to play with og controls the Wii version motion controls or as modern fps This is must buy especially for new player 
664,This is the one of two Nintendo franchises care about The fact this and the promise of Prime 4 would almost make me want to buy switch says lot 
665,My history with the Metroid series is mostly recent had barely touched Metroid before decided to play Super Metroid leading up to Dread release 
666,Never played Prime game before was actually waiting for such release since the switch release n It is definetely good The whole first 2 hours of the game is peak pacing and progression after that it sadly devolves to n standard metroidvania loop of backtracking and collecting further upgrades know it unfair to compare it to Dread but that game had way better pacing The music is banging the visuals are super impressive for switch hardware which is already showing it age with games like Bayonetta 3 for example n like it despite my gripes with some of the backtracking and the absolute trash boss that is Meta Ridley Especially after beating THE best bosses in gaming Sekiro Also the inability to skip cutscenes in 2023 release it quite iffy n Collecting lore also heavily reminded me of Outer Wilds which guess is the game that was influenced by Prime n Other than that very intriguing take on metroid FPS game ll definetely try 2 and 3 whenever they are coming to switch and 4 if it ever graces the console 
667,Es un juego muy adelantado su época al jugarlo no he podido evitar compararlo con juegos mucho más modernos eso habla muy bien de este juego ya que es tan bueno que la industria se ha fijado ha seguido sus enseñanzas n Me gustaría indagar mucho más en los archivos demás pero no lo he ido haciendo durante la run por ir toda leche Juegarral 10 10
668,This is my first time playing this game have already played Metroid Prime 2 and 3 so this wasn a mind blowing experience It is impressive how much they got right the first time though This game doesn feel like it lacking much of anything besides fast travel m also shocked about how cool Samus suit kept getting haven seen any cosplay or drawings of that Phazon suit It was nice surprise ve heard lot about the music in this game and yes it is great 
669,One of these days Halo will understand what makes FPS games fun
670,its whatever brah rip bungie fuck 343
